age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
15, State-gov,2, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,1,0,19, United-States, <=50K
22, Self-emp-not-inc,2, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,6, United-States, <=50K
14, Private,6, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,19, United-States, <=50K
24, Private,7, 11th,7, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,19, United-States, <=50K
7, Private,11, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0,0,19, Cuba, <=50K
13, Private,9, Masters,14, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,19, United-States, <=50K
21, Private,5, 9th,5, Married-spouse-absent, Other-service, Not-in-family, Black, Female,0,0,7, Jamaica, <=50K
23, Self-emp-not-inc,6, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,22, United-States, >50K
9, Private,1, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,7,0,24, United-States, >50K
17, Private,4, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,2,0,19, United-States, >50K
13, Private,9, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States, >50K
8, State-gov,4, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,19, India, >50K
4, Private,3, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,0,0,14, United-States, <=50K
10, Private,6, Assoc-acdm,12, Never-married, Sales, Not-in-family, Black, Male,0,0,24, United-States, <=50K
15, Private,3, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,19, ?, >50K
11, Private,7, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,22, Mexico, <=50K
5, Self-emp-not-inc,5, HS-grad,9, Never-married, Farming-fishing, Own-child, White, Male,0,0,17, United-States, <=50K
10, Private,5, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,19, United-States, <=50K
14, Private,0, 11th,7, Married-civ-spouse, Sales, Husband, White, Male,0,0,24, United-States, <=50K
17, Self-emp-not-inc,9, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female,0,0,22, United-States, >50K
15, Private,6, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,30, United-States, >50K
25, Private,9, HS-grad,9, Separated, Other-service, Unmarried, Black, Female,0,0,9, United-States, <=50K
12, Federal-gov,2, 9th,5, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,19, United-States, <=50K
17, Private,3, 11th,7, Married-civ-spouse, Transport-moving, Husband, White, Male,0,23,19, United-States, <=50K
28, Private,3, HS-grad,9, Divorced, Tech-support, Unmarried, White, Female,0,0,19, United-States, <=50K
26, Local-gov,6, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,19, United-States, >50K
1, Private,5, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,19, United-States, <=50K
25, ?,5, Some-college,10, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male,0,0,30, South, >50K
15, Private,12, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
21, Private,6, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,19, United-States, <=50K
4, Local-gov,6, Assoc-acdm,12, Never-married, Protective-serv, Not-in-family, White, Male,0,0,26, United-States, <=50K
2, Private,8, Some-college,10, Never-married, Sales, Own-child, Black, Male,0,0,21, United-States, <=50K
19, Private,12, Bachelors,13, Divorced, Exec-managerial, Own-child, White, Male,0,16,19, United-States, <=50K
8, Federal-gov,1, Some-college,10, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,19, United-States, <=50K
3, State-gov,10, Some-college,10, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,7, United-States, <=50K
21, Private,7, 11th,7, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,19, Puerto-Rico, <=50K
2, Private,6, Some-college,10, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,19, United-States, <=50K
1, Private,17, HS-grad,9, Married-AF-spouse, Adm-clerical, Wife, White, Female,0,0,12, United-States, <=50K
9, Private,2, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,18, ?, >50K
21, Self-emp-not-inc,8, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,19, United-States, <=50K
9, Private,16, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,21, United-States, <=50K
24, Self-emp-not-inc,2, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,19, United-States, <=50K
4, Private,5, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,24, United-States, <=50K
21, Private,2, HS-grad,9, Separated, Adm-clerical, Unmarried, White, Female,0,0,19, United-States, <=50K
5, Private,9, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,17, United-States, <=50K
27, Federal-gov,11, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,19, United-States, >50K
24, Private,4, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,18, United-States, <=50K
18, Private,3, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female,0,0,19, United-States, <=50K
16, State-gov,3, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,19, United-States, <=50K
8, Private,8, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,21, United-States, <=50K
5, Private,0, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0,0,19, United-States, <=50K
0, Private,7, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,14, ?, <=50K
20, Private,1, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,21,30, Honduras, >50K
22, Federal-gov,8, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,27, United-States, >50K
20, Self-emp-inc,3, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,30, United-States, <=50K
17, Private,7, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,19, United-States, >50K
19, Private,6, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,19, Mexico, <=50K
12, Private,1, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White, Male,0,0,19, Puerto-Rico, <=50K
16, Private,4, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,23, United-States, <=50K
8, Private,5, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,2,0,19, United-States, <=50K
8, Private,1, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,1,0,19, United-States, <=50K
10, ?,9, 7th-8th,4, Married-spouse-absent, ?, Not-in-family, White, Male,0,0,19, ?, <=50K
21, Private,4, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,19, United-States, <=50K
17, Private,3, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,22, United-States, >50K
8, Private,3, Some-college,10, Divorced, Tech-support, Not-in-family, White, Male,0,0,29, United-States, <=50K
13, Private,4, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,19, United-States, <=50K
7, Private,5, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,19, United-States, <=50K
24, Private,5, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,19, United-States, >50K
21, Self-emp-inc,6, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,24, United-States, >50K
5, ?,6, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,19, United-States, <=50K
1, Private,3, Some-college,10, Never-married, Prof-specialty, Own-child, White, Male,0,0,15, United-States, <=50K
9, Private,10, Bachelors,13, Separated, Sales, Own-child, Black, Female,0,0,19, United-States, <=50K
8, Self-emp-not-inc,5, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,35, United-States, >50K
4, Private,6, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,19, United-States, <=50K
42, Private,3, Some-college,10, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0,0,9, United-States, <=50K
