dataset,experiment_name,experiment_id,timestamp,meta_loader,meta_synthesizer,meta_obtainer,meta_repairer,meta_synthesizer_params_model_path,meta_synthesizer_params_size,meta_synthesizer_params_seed,meta_obtainer_params_selection_budget,meta_obtainer_params_generation_budget,meta_obtainer_params_k,meta_obtainer_params_seed,meta_repairer_params_alpha,repairer,synthesizer,engine,runtime_loading,runtime_synthesizing,runtime_marginals_obtaining,runtime_repairing,deletion_ratio_before,deletion_ratio_after,deletion_ratio_ratio,marginals_error_synthetic_avg,marginals_error_repaired_avg,tvd_2way_synthetic_avg,tvd_2way_repaired_avg,ml_accuracy_synthetic_logistic_regression,ml_accuracy_synthetic_random_forest,ml_accuracy_synthetic_mlp,ml_accuracy_repaired_logistic_regression,ml_accuracy_repaired_random_forest,ml_accuracy_repaired_mlp,violations_private,violations_synthetic,violations_repaired,loss_function_synthetic_total,loss_function_synthetic_size_component,loss_function_synthetic_marginal_component,loss_function_repaired_total,loss_function_repaired_size_component,loss_function_repaired_marginal_component,marginal_generation_quality_avg_relative_error,marginal_selection_quality_precision_at_k,marginal_selection_quality_overlap_count,marginal_selection_quality_k,meta_repairer_params_use_marginals
adult,alpha_eps01_b1000_abserr_adult_aim_a0.55,327bd14f,2026-05-17T23:29:55.029861,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_aim_eps0.1.pkl,50000,42,1000.0,1000.0,20,42,0.55,WeightedVCRepairer,SmartNoiseModelLoader,aim,0.2819192409515381,3.19877552986145,0.8451969623565674,27854.22181129456,50000,36913,0.26174,576.4806767784844,346.8080546521463,0.080910527083443,0.1117997857093349,0.8065394537488227,0.818639695344171,0.8167355964129233,0.8135620981941771,0.8274231194463781,0.8245976823225912,0,35193133,0,-0.002745502947488,-0.0237091028213422,0.0228766746761115,0.1404047705850108,0.2442365177511158,0.013499301826438,0.0001034215521389,1.0,20.0,20.0,
adult,alpha_eps01_b1000_abserr_adult_aim_a0.6,fcb28fb0,2026-05-18T03:15:50.888613,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_aim_eps0.1.pkl,50000,42,1000.0,1000.0,20,42,0.6,WeightedVCRepairer,SmartNoiseModelLoader,aim,0.1937079429626464,1.6593101024627686,0.5785999298095703,13348.836413145063,50000,38744,0.22512,576.4806767784844,436.3517763681002,0.080910527083443,0.1073059434757411,0.8065394537488227,0.818639695344171,0.8167355964129233,0.8143605912943778,0.8260513492485975,0.8286720445518202,0,35193133,0,-0.0050747918223607,-0.0237091028213422,0.0228766746761115,0.1306301207606302,0.2067482904057982,0.016452866292878,0.0001034215521389,1.0,20.0,20.0,
adult,alpha_eps01_b1000_abserr_adult_aim_a0.75,6fb694c8,2026-05-17T17:38:30.905449,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_aim_eps0.1.pkl,50000,42,1000.0,1000.0,20,42,0.75,WeightedVCRepairer,SmartNoiseModelLoader,aim,0.2850761413574219,3.19284725189209,0.8907060623168945,6720.925691843033,50000,46100,0.078,576.4806767784844,575.8357499310434,0.080910527083443,0.0831115433480731,0.8065394537488227,0.818639695344171,0.8167355964129233,0.8101633839728103,0.8172679251463904,0.8202366815445723,0,35193133,0,-0.0120626584469788,-0.0237091028213422,0.0228766746761115,0.0477895041114536,0.0561402071987224,0.0227373948496473,0.0001034215521389,1.0,20.0,20.0,
adult,alpha_eps01_b1000_abserr_adult_aim_a0.8,25953629,2026-05-17T17:38:34.314172,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_aim_eps0.1.pkl,50000,42,1000.0,1000.0,20,42,0.8,WeightedVCRepairer,SmartNoiseModelLoader,aim,0.2852590084075928,3.1943166255950928,0.8886117935180664,6714.280453681946,50000,46147,0.07706,576.4806767784844,577.9302427182586,0.080910527083443,0.0830326378837137,0.8065394537488227,0.818639695344171,0.8167355964129233,0.8101429097907539,0.8182711600671553,0.8195405593546538,0,35193133,0,-0.0143919473218515,-0.0237091028213422,0.0228766746761115,0.0487138284428326,0.0551779206420703,0.022857459645882,0.0001034215521389,1.0,20.0,20.0,
adult,alpha_eps01_b1000_abserr_adult_aim_a0.85,cd21e044,2026-05-17T19:27:05.875513,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_aim_eps0.1.pkl,50000,42,1000.0,1000.0,20,42,0.85,WeightedVCRepairer,SmartNoiseModelLoader,aim,0.1974115371704101,1.865830659866333,0.6501796245574951,6256.01367688179,50000,46152,0.07696,576.4806767784844,578.4621584165648,0.080910527083443,0.0830268321881684,0.8065394537488227,0.818639695344171,0.8167355964129233,0.8101429097907539,0.8170631833258262,0.8175955120592933,0,35193133,0,-0.0167212361967242,-0.0237091028213422,0.0228766746761115,0.0502454069289749,0.0550755497317882,0.022874597713033,0.0001034215521389,1.0,20.0,20.0,
adult,alpha_eps01_b1000_abserr_adult_aim_a0.9,bed9b75b,2026-05-17T19:27:00.651984,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_aim_eps0.1.pkl,50000,42,1000.0,1000.0,20,42,0.9,WeightedVCRepairer,SmartNoiseModelLoader,aim,0.1592159271240234,1.5247387886047363,0.6545464992523193,6255.4685962200165,50000,46153,0.07694,576.4806767784844,578.7462800370995,0.080910527083443,0.0830257905553702,0.8065394537488227,0.818639695344171,0.8167355964129233,0.8101429097907539,0.8185782727980018,0.8125793374554686,0,35193133,0,-0.0190505250715969,-0.0237091028213422,0.0228766746761115,0.0518373704828451,0.0550550755497317,0.0228780248808653,0.0001034215521389,1.0,20.0,20.0,
adult,alpha_eps01_b1000_abserr_adult_aim_a0.95,2f37900b,2026-05-17T20:41:32.079927,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_aim_eps0.1.pkl,50000,42,1000.0,1000.0,20,42,0.95,WeightedVCRepairer,SmartNoiseModelLoader,aim,0.1500368118286132,1.00885009765625,0.3865828514099121,4356.764106273651,50000,46153,0.07694,576.4806767784844,578.7462800370995,0.080910527083443,0.0830257905553702,0.8065394537488227,0.818639695344171,0.8167355964129233,0.8101429097907539,0.8185782727980018,0.8125793374554686,0,35193133,0,-0.0213798139464695,-0.0237091028213422,0.0228766746761115,0.0534462230162884,0.0550550755497317,0.0228780248808653,0.0001034215521389,1.0,20.0,20.0,
adult,alpha_eps01_b1000_abserr_adult_aim_a1.0,821132a0,2026-05-17T17:37:16.505410,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_aim_eps0.1.pkl,50000,42,1000.0,1000.0,20,42,1.0,WeightedVCRepairer,SmartNoiseModelLoader,aim,0.2819974422454834,3.1701838970184326,0.8362627029418945,6683.293886423111,50000,46153,0.07694,576.4806767784844,578.7462800370995,0.080910527083443,0.0830257905553702,0.8065394537488227,0.818639695344171,0.8167355964129233,0.8101429097907539,0.8185782727980018,0.8125793374554686,0,35193133,0,-0.0237091028213422,-0.0237091028213422,0.0228766746761115,0.0550550755497317,0.0550550755497317,0.0228780248808653,0.0001034215521389,1.0,20.0,20.0,
adult,alpha_eps01_b1000_abserr_adult_mst_a0.7,202a03d3,2026-05-17T23:38:36.878383,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_mst_eps0.1.pkl,50000,42,1000.0,1000.0,20,42,0.7,WeightedVCRepairer,SmartNoiseModelLoader,mst,0.2879750728607178,3.45678186416626,0.8788290023803711,28409.63518548012,50000,38734,0.22532,0.6328209093527574,0.5636988529449158,0.1177420741711368,0.1408016308789616,0.7607182343065395,0.7471029032390156,0.7579542197289219,0.7607182343065395,0.7427009540968839,0.7626018590557307,0,48283895,0,-0.0094248902490822,-0.0237091028213422,0.0239049390861911,0.1497864368706693,0.2069530322263625,0.0163977143740519,5.205815885982013e-05,1.0,20.0,20.0,
adult,alpha_eps01_b1000_abserr_adult_mst_a0.75,4b79327b,2026-05-17T21:20:37.195302,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_mst_eps0.1.pkl,50000,42,1000.0,1000.0,20,42,0.75,WeightedVCRepairer,SmartNoiseModelLoader,mst,0.2878119945526123,3.457772016525269,0.8777554035186768,20147.877374887463,50000,39575,0.2085,0.6328209093527574,0.5988599014624123,0.1177420741711368,0.1388056962996722,0.7607182343065395,0.7470619548749028,0.7579542197289219,0.7607182343065395,0.7453011752180501,0.7642193194381884,0,48283895,0,-0.0118055923444589,-0.0237091028213422,0.0239049390861911,0.1471696177564173,0.1897342451169076,0.0194757356749466,5.205815885982013e-05,1.0,20.0,20.0,
adult,alpha_eps01_b1000_abserr_adult_mst_a0.8,e6926341,2026-05-18T01:48:37.680757,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_mst_eps0.1.pkl,50000,42,1000.0,1000.0,20,42,0.8,WeightedVCRepairer,SmartNoiseModelLoader,mst,0.2087719440460205,1.7711076736450195,0.5585818290710449,15919.670206069946,50000,40162,0.19676,0.6328209093527574,0.6107316614500081,0.1177420741711368,0.1356956722702279,0.7607182343065395,0.7470619548749028,0.7579542197289219,0.7607182343065395,0.7355349903771344,0.7708734286065272,0,48283895,0,-0.0141862944398356,-0.0237091028213422,0.0239049390861911,0.1463683885309848,0.177715900249785,0.0209783416557842,5.205815885982013e-05,1.0,20.0,20.0,
adult,alpha_eps01_b1000_abserr_adult_mst_a0.95,d2449817,2026-05-17T20:15:18.200948,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_mst_eps0.1.pkl,50000,42,1000.0,1000.0,20,42,0.95,WeightedVCRepairer,SmartNoiseModelLoader,mst,0.2750258445739746,3.563782930374145,0.8451366424560547,16225.665019512177,50000,40740,0.1852,0.6328209093527574,0.6194781828346263,0.1177420741711368,0.1334413032769295,0.7607182343065395,0.7471029032390156,0.7579542197289219,0.7607182343065395,0.7435608697432537,0.7465501003234921,0,48283895,0,-0.0213284007259656,-0.0237091028213422,0.0239049390861911,0.1586993109059137,0.1658818230211703,0.0222315807160389,5.205815885982013e-05,1.0,20.0,20.0,
adult,alpha_eps01_b1000_abserr_adult_mst_a1.0,99e5b9b8,2026-05-17T20:14:33.441207,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_mst_eps0.1.pkl,50000,42,1000.0,1000.0,20,42,1.0,WeightedVCRepairer,SmartNoiseModelLoader,mst,0.2921390533447265,3.421333312988281,0.8421006202697754,16146.209329366684,50000,40738,0.18524,0.6328209093527574,0.6225284863125518,0.1177420741711368,0.1335382181839241,0.7607182343065395,0.7470619548749028,0.7579542197289219,0.7607182343065395,0.7485565701650219,0.7585070226444454,0,48283895,0,-0.0237091028213422,-0.0237091028213422,0.0239049390861911,0.1659227713852831,0.1659227713852831,0.0226317127618747,5.205815885982013e-05,1.0,20.0,20.0,
census,alpha_eps01_b1000_abserr_census_aim_a0.0,d670b073,2026-05-17T20:58:30.065002,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/census_aim_eps0.1.pkl,50000,42,1000.0,1000.0,20,42,0.0,WeightedVCRepairer,SmartNoiseModelLoader,aim,1.827636957168579,15.230204820632936,0.0005512237548828,2388.3344650268555,50000,5507,0.88986,,,0.0163728732199463,0.1378890576207107,0.6204215803727408,0.5678712829882401,0.6203408878067054,0.6188230429696749,0.5645416838948241,0.6082252229647509,0,501859,0,0.0,0.985275079190624,0.0,0.0,0.9983781972220552,0.0,,,,,
census,alpha_eps01_b1000_abserr_census_aim_a0.05,5bef0b20,2026-05-17T20:24:39.312363,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/census_aim_eps0.1.pkl,50000,42,1000.0,1000.0,20,42,0.05,WeightedVCRepairer,SmartNoiseModelLoader,aim,1.7008652687072754,13.658839225769045,0.0003323554992675,15.404269456863403,50000,49659,0.00682,,,0.0163728732199463,0.0160018360456902,0.6204215803727408,0.5678712829882401,0.6203408878067054,0.6204036159693533,0.5682293930623241,0.6202010010590163,0,501859,0,0.0492637539595312,0.985275079190624,0.0,0.0492687751575272,0.985375503150544,0.0,,,,,
census,alpha_eps01_b1000_abserr_census_aim_a0.1,54387370,2026-05-17T20:34:00.708589,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/census_aim_eps0.1.pkl,50000,42,1000.0,1000.0,20,42,0.1,WeightedVCRepairer,SmartNoiseModelLoader,aim,1.732630729675293,13.98976707458496,0.00032639503479,15.483853101730348,50000,49659,0.00682,,,0.0163728732199463,0.0160018360456902,0.6204215803727408,0.5678712829882401,0.6203408878067054,0.6204036159693533,0.5682293930623241,0.6202010010590163,0,501859,0,0.0985275079190624,0.985275079190624,0.0,0.0985375503150544,0.985375503150544,0.0,,,,,
census,alpha_eps01_b1000_abserr_census_aim_a0.15,43088ffb,2026-05-17T15:55:55.938919,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/census_aim_eps0.1.pkl,50000,42,1000.0,1000.0,20,42,0.15,WeightedVCRepairer,SmartNoiseModelLoader,aim,2.569425582885742,17.101227045059204,0.0004527568817138,18.1045355796814,50000,49659,0.00682,,,0.0163728732199463,0.0160018360456902,0.6204215803727408,0.5678712829882401,0.6203408878067054,0.6204036159693533,0.5682293930623241,0.6202010010590163,0,501859,0,0.1477912618785936,0.985275079190624,0.0,0.1478063254725816,0.985375503150544,0.0,,,,,
census,alpha_eps01_b1000_abserr_census_aim_a0.2,27aec6be,2026-05-17T15:55:58.910448,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/census_aim_eps0.1.pkl,50000,42,1000.0,1000.0,20,42,0.2,WeightedVCRepairer,SmartNoiseModelLoader,aim,2.5698533058166504,19.1259241104126,0.00046968460083,17.555018424987793,50000,49659,0.00682,,,0.0163728732199463,0.0160018360456902,0.6204215803727408,0.5678712829882401,0.6203408878067054,0.6204036159693533,0.5682293930623241,0.6202010010590163,0,501859,0,0.1970550158381248,0.985275079190624,0.0,0.1970751006301088,0.985375503150544,0.0,,,,,
census,alpha_eps01_b1000_abserr_census_aim_a0.25,c8bef34a,2026-05-17T16:09:23.358120,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/census_aim_eps0.1.pkl,50000,42,1000.0,1000.0,20,42,0.25,WeightedVCRepairer,SmartNoiseModelLoader,aim,1.9116928577423096,19.50336503982544,0.0003261566162109,16.235902786254883,50000,49659,0.00682,,,0.0163728732199463,0.0160018360456902,0.6204215803727408,0.5678712829882401,0.6203408878067054,0.6204036159693533,0.5682293930623241,0.6202010010590163,0,501859,0,0.246318769797656,0.985275079190624,0.0,0.246343875787636,0.985375503150544,0.0,,,,,
census,alpha_eps01_b1000_abserr_census_aim_a0.3,dddfd296,2026-05-17T16:09:22.830751,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/census_aim_eps0.1.pkl,50000,42,1000.0,1000.0,20,42,0.3,WeightedVCRepairer,SmartNoiseModelLoader,aim,1.927628517150879,15.862168550491331,0.0005078315734863,16.26160717010498,50000,49659,0.00682,,,0.0163728732199463,0.0160018360456902,0.6204215803727408,0.5678712829882401,0.6203408878067054,0.6204036159693533,0.5682293930623241,0.6202010010590163,0,501859,0,0.2955825237571872,0.985275079190624,0.0,0.2956126509451632,0.985375503150544,0.0,,,,,
census,alpha_eps01_b1000_abserr_census_aim_a0.35,46640dd8,2026-05-17T16:15:34.379746,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/census_aim_eps0.1.pkl,50000,42,1000.0,1000.0,20,42,0.35,WeightedVCRepairer,SmartNoiseModelLoader,aim,1.260718822479248,9.381115198135376,0.000338077545166,8.899083375930786,50000,49659,0.00682,,,0.0163728732199463,0.0160018360456902,0.6204215803727408,0.5678712829882401,0.6203408878067054,0.6204036159693533,0.5682293930623241,0.6202010010590163,0,501859,0,0.3448462777167184,0.985275079190624,0.0,0.3448814261026904,0.985375503150544,0.0,,,,,
census,alpha_eps01_b1000_abserr_census_aim_a0.4,f2a8b104,2026-05-17T15:56:10.682890,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/census_aim_eps0.1.pkl,50000,42,1000.0,1000.0,20,42,0.4,WeightedVCRepairer,SmartNoiseModelLoader,aim,2.585752487182617,19.748634338378903,0.0004167556762695,17.417582035064697,50000,49659,0.00682,,,0.0163728732199463,0.0160018360456902,0.6204215803727408,0.5678712829882401,0.6203408878067054,0.6204036159693533,0.5682293930623241,0.6202010010590163,0,501859,0,0.3941100316762496,0.985275079190624,0.0,0.3941502012602176,0.985375503150544,0.0,,,,,
census,alpha_eps01_b1000_abserr_census_aim_a0.45,ac024743,2026-05-17T15:56:05.682158,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/census_aim_eps0.1.pkl,50000,42,1000.0,1000.0,20,42,0.45,WeightedVCRepairer,SmartNoiseModelLoader,aim,2.5883007049560547,19.83367347717285,0.0004377365112304,17.33608889579773,50000,49659,0.00682,,,0.0163728732199463,0.0160018360456902,0.6204215803727408,0.5678712829882401,0.6203408878067054,0.6204036159693533,0.5682293930623241,0.6202010010590163,0,501859,0,0.4433737856357808,0.985275079190624,0.0,0.4434189764177448,0.985375503150544,0.0,,,,,
census,alpha_eps01_b1000_abserr_census_aim_a0.5,36ccd8b6,2026-05-17T16:09:50.155184,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/census_aim_eps0.1.pkl,50000,42,1000.0,1000.0,20,42,0.5,WeightedVCRepairer,SmartNoiseModelLoader,aim,1.683701992034912,16.528569221496582,0.0003643035888671,16.257871866226196,50000,49659,0.00682,,,0.0163728732199463,0.0160018360456902,0.6204215803727408,0.5678712829882401,0.6203408878067054,0.6204036159693533,0.5682293930623241,0.6202010010590163,0,501859,0,0.492637539595312,0.985275079190624,0.0,0.492687751575272,0.985375503150544,0.0,,,,,
