dataset,experiment_name,experiment_id,timestamp,meta_loader,meta_synthesizer,meta_obtainer,meta_repairer,meta_synthesizer_params_model_path,meta_synthesizer_params_size,meta_synthesizer_params_seed,meta_obtainer_params_selection_budget,meta_obtainer_params_generation_budget,meta_obtainer_params_k,meta_obtainer_params_seed,meta_repairer_params_alpha,repairer,synthesizer,engine,runtime_loading,runtime_synthesizing,runtime_marginals_obtaining,runtime_repairing,deletion_ratio_before,deletion_ratio_after,deletion_ratio_ratio,marginals_error_synthetic_avg,marginals_error_repaired_avg,tvd_2way_synthetic_avg,tvd_2way_repaired_avg,ml_accuracy_synthetic_logistic_regression,ml_accuracy_synthetic_random_forest,ml_accuracy_synthetic_mlp,ml_accuracy_repaired_logistic_regression,ml_accuracy_repaired_random_forest,ml_accuracy_repaired_mlp,violations_private,violations_synthetic,violations_repaired,loss_function_synthetic_total,loss_function_synthetic_size_component,loss_function_synthetic_marginal_component,loss_function_repaired_total,loss_function_repaired_size_component,loss_function_repaired_marginal_component,marginal_generation_quality_avg_relative_error,marginal_selection_quality_precision_at_k,marginal_selection_quality_overlap_count,marginal_selection_quality_k,meta_repairer_params_use_marginals
adult,may_2026_batch,126fb5cd,2026-05-08T11:43:55.391951,FileLoader,SmartNoiseModelLoader,TopKObtainer,ILPRepairer,models/adult_aim.pkl,1000,44,0.5,0.5,20,42,0.5,ILPRepairer,SmartNoiseModelLoader,aim,0.1616334915161132,1.2663166522979736,0.7907629013061523,1.097980260848999,1000,956,0.044,0.34129355315918,0.3185359352785555,0.0729666083639958,0.0769553886133964,0.8187215920723967,0.8386224970312436,0.8076860079439826,0.8178002538798576,0.8385815486671307,0.8071946275746283,0,12837,0,0.0068736260134872,0.0,0.0137472520269745,0.0276717431682989,0.044,0.0113434863365979,,,,,False
adult,may_2026_batch,1985bfd9,2026-05-08T10:26:03.332907,FileLoader,SmartNoiseModelLoader,TopKObtainer,ILPRepairer,models/adult_patectgan.pkl,1000,44,0.5,0.5,20,42,0.5,ILPRepairer,SmartNoiseModelLoader,patectgan,0.140324592590332,0.5604062080383301,0.6448726654052734,2615.830085992813,1000,38,0.962,150.47034271823014,5055314.778226113,0.7363726991406693,0.8468021636746134,0.3954383522378281,0.4298554522746816,0.514966627083248,0.6973301666598419,0.675074730764506,0.6231726792514639,0,260429,0,0.3302925220274613,0.0,0.6605850440549226,0.8135069957116718,0.962,0.6650139914233437,,,,,False
adult,may_2026_batch,2529a573,2026-05-08T09:42:41.347953,FileLoader,SmartNoiseModelLoader,TopKObtainer,ILPRepairer,models/adult_mst.pkl,1000,42,0.5,0.5,20,42,0.5,ILPRepairer,SmartNoiseModelLoader,mst,0.1812641620635986,3.346107721328736,0.7392106056213379,1.0903816223144531,1000,981,0.019,0.2710010524952168,0.2790689799411325,0.0792839878246864,0.0800930234488508,0.8080750174030548,0.7904057982883583,0.7633184554277057,0.8034069038941895,0.7880512673518693,0.7575447360877933,0,8850,0,0.0131292843650308,0.0,0.0262585687300617,0.02232439139867,0.019,0.02564878279734,,,,,False
adult,may_2026_batch,28edc987,2026-05-08T11:43:49.965193,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_aim.pkl,1000,44,0.5,0.5,20,42,0.5,WeightedVCRepairer,SmartNoiseModelLoader,aim,0.1404786109924316,0.8256821632385254,0.5973770618438721,0.2925987243652344,1000,956,0.044,0.34129355315918,0.3185359352785555,0.0729666083639958,0.0769553886133964,0.8187215920723967,0.8386224970312436,0.8076860079439826,0.8178002538798576,0.8385815486671307,0.8071946275746283,0,12837,0,0.0068736260134872,0.0,0.0137472520269745,0.0276717431682989,0.044,0.0113434863365979,,,,,
adult,may_2026_batch,2dd93aeb,2026-05-08T11:43:55.151444,FileLoader,SmartNoiseModelLoader,TopKObtainer,ILPRepairer,models/adult_aim.pkl,1000,42,0.5,0.5,20,42,0.5,ILPRepairer,SmartNoiseModelLoader,aim,0.1622877120971679,1.2672669887542725,0.8028838634490967,0.9112026691436768,1000,955,0.045,0.1952319744086404,0.1815695881618785,0.0702869790051887,0.0720132642481037,0.8202571557266287,0.8460546251177266,0.8081773883133369,0.821178493919168,0.844252897096761,0.8080954915851112,0,9241,0,0.0064048017858941,0.0,0.0128096035717882,0.02798124157647,0.045,0.01096248315294,,,,,False
adult,may_2026_batch,39f96414,2026-05-08T10:46:15.717737,FileLoader,SmartNoiseModelLoader,TopKObtainer,ILPRepairer,models/adult_patectgan.pkl,1000,44,0.5,0.5,20,42,0.5,ILPRepairer,SmartNoiseModelLoader,patectgan,0.181563138961792,2.491356611251831,0.7246882915496826,3821.096470594406,1000,0,1.0,150.47034271823014,6834350.4405492265,0.7363726991406693,0.5,0.3954383522378281,0.4298554522746816,0.514966627083248,0.0,0.0,0.0,0,260429,0,0.3302925220274613,0.0,0.6605850440549226,0.8417175220274613,1.0,0.6834350440549226,,,,,True
adult,may_2026_batch,3c0b7b09,2026-05-08T11:43:49.892100,FileLoader,SmartNoiseModelLoader,TopKObtainer,VanillaVCRepairer,models/adult_aim.pkl,1000,42,0.5,0.5,20,42,,VanillaVCRepairer,SmartNoiseModelLoader,aim,0.1430029869079589,0.8542144298553467,0.6090948581695557,0.2110934257507324,1000,955,0.045,0.1952319744086404,0.1815695881618785,0.0702869790051887,0.0720132642481037,0.8202571557266287,0.8460546251177266,0.8081773883133369,0.821178493919168,0.844252897096761,0.8080954915851112,0,9241,0,0.0064048017858941,0.0,0.0128096035717882,0.02798124157647,0.045,0.01096248315294,,,,,
adult,may_2026_batch,3c944f64,2026-05-08T09:42:41.696953,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_patectgan.pkl,1000,44,0.5,0.5,20,42,0.5,WeightedVCRepairer,SmartNoiseModelLoader,patectgan,0.168494701385498,1.3611550331115725,0.7125177383422852,7.573314189910889,1000,31,0.969,150.47034271823014,4363353.694990083,0.7363726991406693,0.8479082336467112,0.3954383522378281,0.4298554522746816,0.514966627083248,0.4081118709307563,0.3275664387207731,0.2514024814708652,0,260429,0,0.3302925220274613,0.0,0.6605850440549226,0.8141207478339129,0.969,0.6592414956678257,,,,,
adult,may_2026_batch,45a806e6,2026-05-08T09:42:47.940892,FileLoader,SmartNoiseModelLoader,TopKObtainer,ILPRepairer,models/adult_mst.pkl,1000,43,0.5,0.5,20,42,0.5,ILPRepairer,SmartNoiseModelLoader,mst,0.1806659698486328,3.346782922744751,0.7164156436920166,11.747004270553589,1000,986,0.014,0.7144508921081473,0.713722661348811,0.0783841510331662,0.079112370383724,0.8050243642766471,0.7775889603210352,0.740407845706564,0.8064985053847099,0.7800049138036935,0.7515048523811474,0,4235,0,0.0140391243739984,0.0,0.0280782487479968,0.0210727957735927,0.014,0.0281455915471855,,,,,True
adult,may_2026_batch,4eab2fba,2026-05-08T09:42:38.244912,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_mst.pkl,1000,43,0.5,0.5,20,42,0.5,WeightedVCRepairer,SmartNoiseModelLoader,mst,0.1629033088684082,2.1857171058654785,0.718839168548584,0.2048485279083252,1000,986,0.014,0.7144508921081473,0.713722661348811,0.0783841510331662,0.079112370383724,0.8050243642766471,0.7775889603210352,0.740407845706564,0.8064985053847099,0.7800049138036935,0.7515048523811474,0,4235,0,0.0140391243739984,0.0,0.0280782487479968,0.0210727957735927,0.014,0.0281455915471855,,,,,
adult,may_2026_batch,595c2046,2026-05-08T11:43:50.306706,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_aim.pkl,1000,43,0.5,0.5,20,42,0.5,WeightedVCRepairer,SmartNoiseModelLoader,aim,0.1403748989105224,0.8507895469665527,0.6000795364379883,0.3070182800292969,1000,955,0.045,0.1924278629463277,0.184539487686122,0.0721186734289965,0.0755382611417553,0.819642930264936,0.8431882396298268,0.8022398755169731,0.8196224560828795,0.8426559108963597,0.8061299701076942,0,10376,0,0.0070010768031598,0.0,0.0140021536063197,0.0298611553371913,0.045,0.0147223106743826,,,,,
adult,may_2026_batch,5f3549bd,2026-05-08T11:43:52.329581,FileLoader,SmartNoiseModelLoader,TopKObtainer,VanillaVCRepairer,models/adult_aim.pkl,1000,44,0.5,0.5,20,42,,VanillaVCRepairer,SmartNoiseModelLoader,aim,0.1524999141693115,0.9583868980407716,0.7205531597137451,0.2640600204467773,1000,956,0.044,0.34129355315918,0.3185359352785555,0.0729666083639958,0.0769553886133964,0.8187215920723967,0.8386224970312436,0.8076860079439826,0.8178002538798576,0.8385815486671307,0.8071946275746283,0,12837,0,0.0068736260134872,0.0,0.0137472520269745,0.0276717431682989,0.044,0.0113434863365979,,,,,
adult,may_2026_batch,6676c3ce,2026-05-08T09:42:38.680791,FileLoader,SmartNoiseModelLoader,TopKObtainer,ILPRepairer,models/adult_mst.pkl,1000,44,0.5,0.5,20,42,0.5,ILPRepairer,SmartNoiseModelLoader,mst,0.1836178302764892,3.506492853164673,0.6991949081420898,0.9516890048980712,1000,980,0.02,0.3634678113158104,0.3564704641663879,0.0788144871412387,0.0805740252309573,0.8006838376806846,0.8099791163343024,0.775951025756521,0.8018099176937882,0.8068260922976127,0.7673723434748781,0,12116,0,0.0131988099435539,0.0,0.0263976198871078,0.0231151364741661,0.02,0.0262302729483323,,,,,False
adult,may_2026_batch,6b04b9e3,2026-05-08T10:51:58.912916,FileLoader,SmartNoiseModelLoader,TopKObtainer,ILPRepairer,models/adult_patectgan.pkl,1000,43,0.5,0.5,20,42,0.5,ILPRepairer,SmartNoiseModelLoader,patectgan,0.1815047264099121,2.4908878803253174,0.7372512817382812,4164.559278011322,1000,0,1.0,651476.7768801784,6834686.70126346,0.739424218422474,0.5,0.2846935014946153,0.3440276810941403,0.5429753081364399,0.0,0.0,0.0,0,259076,0,0.330734335063173,0.0,0.661468670126346,0.841734335063173,1.0,0.683468670126346,,,,,True
adult,may_2026_batch,6deeb792,2026-05-08T11:43:52.603666,FileLoader,SmartNoiseModelLoader,TopKObtainer,VanillaVCRepairer,models/adult_aim.pkl,1000,43,0.5,0.5,20,42,,VanillaVCRepairer,SmartNoiseModelLoader,aim,0.1544039249420166,0.966841459274292,0.7250094413757324,0.2446722984313964,1000,955,0.045,0.1924278629463277,0.184539487686122,0.0721186734289965,0.0755382611417553,0.819642930264936,0.8431882396298268,0.8022398755169731,0.8196224560828795,0.8426559108963597,0.8061299701076942,0,10376,0,0.0070010768031598,0.0,0.0140021536063197,0.0298611553371913,0.045,0.0147223106743826,,,,,
adult,may_2026_batch,6f114334,2026-05-08T09:42:40.133835,FileLoader,SmartNoiseModelLoader,TopKObtainer,ClassicVCRepairer,models/adult_mst.pkl,1000,42,0.5,0.5,20,42,,ClassicVCRepairer,SmartNoiseModelLoader,mst,0.1551485061645507,2.19185733795166,0.7186594009399414,0.1615419387817382,1000,964,0.036,0.2710010524952168,0.2765919722241085,0.0792839878246864,0.0807395218731136,0.8080750174030548,0.7904057982883583,0.7633184554277057,0.8022603496990295,0.7875803611645715,0.7617009950452479,0,8850,0,0.0131292843650308,0.0,0.0262585687300617,0.0306205706720848,0.036,0.0252411413441696,,,,,
adult,may_2026_batch,6f414e84,2026-05-08T09:42:39.991982,FileLoader,SmartNoiseModelLoader,TopKObtainer,ClassicVCRepairer,models/adult_patectgan.pkl,1000,43,0.5,0.5,20,42,,ClassicVCRepairer,SmartNoiseModelLoader,patectgan,0.1558320522308349,1.334334135055542,0.7467131614685059,6.976633310317993,1000,4,0.996,651476.7768801784,6441864.255382519,0.739424218422474,0.9421788624544454,0.2846935014946153,0.3440276810941403,0.5429753081364399,0.7015683223455222,0.757913271364809,0.600200646984153,0,259076,0,0.330734335063173,0.0,0.661468670126346,0.833484335063173,0.996,0.670968670126346,,,,,
adult,may_2026_batch,7737c9b3,2026-05-08T11:44:35.042590,FileLoader,SmartNoiseModelLoader,TopKObtainer,ILPRepairer,models/adult_aim.pkl,1000,44,0.5,0.5,20,42,0.5,ILPRepairer,SmartNoiseModelLoader,aim,0.169264554977417,1.2568504810333252,0.7837491035461426,44.72836351394653,1000,956,0.044,0.34129355315918,0.3185359352785555,0.0729666083639958,0.0769553886133964,0.8187215920723967,0.8386224970312436,0.8076860079439826,0.8178002538798576,0.8385815486671307,0.8071946275746283,0,12837,0,0.0068736260134872,0.0,0.0137472520269745,0.0276717431682989,0.044,0.0113434863365979,,,,,True
adult,may_2026_batch,77dd83b5,2026-05-08T09:42:40.740652,FileLoader,SmartNoiseModelLoader,TopKObtainer,VanillaVCRepairer,models/adult_patectgan.pkl,1000,43,0.5,0.5,20,42,,VanillaVCRepairer,SmartNoiseModelLoader,patectgan,0.1663627624511718,1.346081018447876,0.7240595817565918,7.1589674949646,1000,31,0.969,651476.7768801784,4227558.384975774,0.739424218422474,0.8416767669486444,0.2846935014946153,0.3440276810941403,0.5429753081364399,0.2594693092010974,0.2989640063879448,0.2490274763523197,0,259076,0,0.330734335063173,0.0,0.661468670126346,0.8141375608696246,0.969,0.6592751217392493,,,,,
adult,may_2026_batch,785e523d,2026-05-08T11:43:52.120170,FileLoader,SmartNoiseModelLoader,TopKObtainer,ClassicVCRepairer,models/adult_aim.pkl,1000,42,0.5,0.5,20,42,,ClassicVCRepairer,SmartNoiseModelLoader,aim,0.1544089317321777,0.952500581741333,0.7173995971679688,0.2364952564239502,1000,910,0.09,0.1952319744086404,0.1750412298913419,0.0702869790051887,0.0759448622884658,0.8202571557266287,0.8460546251177266,0.8081773883133369,0.8202571557266287,0.8452970803816388,0.8079521723107161,0,9241,0,0.0064048017858941,0.0,0.0128096035717882,0.0500988970806351,0.09,0.0101977941612701,,,,,
