dataset,experiment_name,experiment_id,timestamp,meta_loader,meta_synthesizer,meta_obtainer,meta_repairer,meta_synthesizer_params_model_path,meta_synthesizer_params_size,meta_synthesizer_params_seed,meta_obtainer_params_selection_budget,meta_obtainer_params_generation_budget,meta_obtainer_params_k,meta_obtainer_params_seed,meta_repairer_params_alpha,repairer,synthesizer,engine,runtime_loading,runtime_synthesizing,runtime_marginals_obtaining,runtime_repairing,deletion_ratio_before,deletion_ratio_after,deletion_ratio_ratio,marginals_error_synthetic_avg,marginals_error_repaired_avg,tvd_2way_synthetic_avg,tvd_2way_repaired_avg,ml_accuracy_synthetic_logistic_regression,ml_accuracy_synthetic_random_forest,ml_accuracy_synthetic_mlp,ml_accuracy_repaired_logistic_regression,ml_accuracy_repaired_random_forest,ml_accuracy_repaired_mlp,violations_private,violations_synthetic,violations_repaired,loss_function_synthetic_total,loss_function_synthetic_size_component,loss_function_synthetic_marginal_component,loss_function_repaired_total,loss_function_repaired_size_component,loss_function_repaired_marginal_component
adult,weighted_updated_alpha_v4_adult_aim_a0.0,c2bc3902,2026-05-15T05:45:06.995114,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_aim.pkl,50000,42,0.5,0.5,20,42,0.0,WeightedVCRepairer,SmartNoiseModelLoader,aim,0.3053715229034424,4.609825611114502,1.7454979419708252,65804.79485321045,50000,99,0.99802,0.5618976177615916,0.13450469115502234,0.03196359620233171,0.2693441697004204,0.8231235412145285,0.8441914745505917,0.84689406658204,0.7848982433151795,0.8072560501207977,0.7780803406903894,0,27382463,0,0.008695139627177415,0.0,0.008695139627177415,0.012367890447823531,0.99802,0.012367890447823531
adult,weighted_updated_alpha_v4_adult_aim_a0.05,bffad687,2026-05-14T18:25:03.236159,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_aim.pkl,50000,42,0.5,0.5,20,42,0.05,WeightedVCRepairer,SmartNoiseModelLoader,aim,0.3048079013824463,4.622618675231934,1.7498061656951904,24977.45393514633,50000,6922,0.86156,0.5618976177615916,0.09757952476784881,0.03196359620233171,0.15174739874602855,0.8231235412145285,0.8441914745505917,0.84689406658204,0.8249662175996069,0.8465664796691372,0.8342614962532247,0,27382463,0,0.008260382645818545,0.0,0.008695139627177415,0.056990563925813885,0.86156,0.014644804132435666
adult,weighted_updated_alpha_v4_adult_aim_a0.1,c502ad3a,2026-05-15T00:38:25.330209,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_aim.pkl,50000,42,0.5,0.5,20,42,0.1,WeightedVCRepairer,SmartNoiseModelLoader,aim,0.18337631225585938,2.6587038040161133,1.0960824489593506,22281.250519752502,50000,6922,0.86156,0.5618976177615916,0.06652710305620538,0.03196359620233171,0.14580463034338814,0.8231235412145285,0.8441914745505917,0.84689406658204,0.8247614757790426,0.8483477335080464,0.8316612751320585,0,27382463,0,0.007825625664459674,0.0,0.008695139627177415,0.09527319167642989,0.86156,0.010130212973810981
adult,weighted_updated_alpha_v4_adult_aim_a0.15,7424e741,2026-05-15T06:28:22.173860,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_aim.pkl,50000,42,0.5,0.5,20,42,0.15,WeightedVCRepairer,SmartNoiseModelLoader,aim,0.19040584564208984,2.6111655235290527,1.0306832790374756,20877.474053144455,50000,6922,0.86156,0.5618976177615916,0.06533202393498293,0.03196359620233171,0.14545134485442748,0.8231235412145285,0.8441914745505917,0.84689406658204,0.8247000532328733,0.8474059211334507,0.8307604111215757,0,27382463,0,0.007390868683100803,0.0,0.008695139627177415,0.13772802399220047,0.86156,0.009992969402588798
adult,weighted_updated_alpha_v4_adult_aim_a0.25,e131361e,2026-05-14T18:23:35.331428,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_aim.pkl,50000,42,0.5,0.5,20,42,0.25,WeightedVCRepairer,SmartNoiseModelLoader,aim,0.28440380096435547,4.606084108352661,1.7724647521972656,24884.011389017105,50000,7912,0.84176,0.5618976177615916,0.21784593357213838,0.03196359620233171,0.1550189810425162,0.8231235412145285,0.8441914745505917,0.84689406658204,0.8252938045125098,0.8456656156586544,0.833606322427419,0,27382463,0,0.006521354720383061,0.0,0.008695139627177415,0.2286189424349577,0.84176,0.024238589913276938
adult,weighted_updated_alpha_v4_adult_aim_a0.3,c1851b5d,2026-05-14T17:59:38.540649,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_aim.pkl,50000,42,0.5,0.5,20,42,0.3,WeightedVCRepairer,SmartNoiseModelLoader,aim,0.28519129753112793,4.617661714553833,1.7842693328857422,23424.11290693283,50000,25723,0.48554,0.5618976177615916,6.267877644014262,0.03196359620233171,0.06895509119597859,0.8231235412145285,0.8441914745505917,0.84689406658204,0.8235125506736006,0.8479587240489742,0.8439457843659146,0,27382463,0,0.00608659773902419,0.0,0.008695139627177415,0.14914141530059644,0.48554,0.004970593286566304
adult,weighted_updated_alpha_v4_adult_aim_a0.35,e91dedae,2026-05-14T23:25:33.972521,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_aim.pkl,50000,42,0.5,0.5,20,42,0.35,WeightedVCRepairer,SmartNoiseModelLoader,aim,0.1961987018585205,2.744182586669922,1.168360948562622,19393.054274320602,50000,34584,0.30832,0.5618976177615916,0.30040209018153075,0.03196359620233171,0.05363369199049355,0.8231235412145285,0.8441914745505917,0.84689406658204,0.8247410015969862,0.8442119487326482,0.8437819909094632,0,27382463,0,0.00565184075766532,0.0,0.008695139627177415,0.10943003054634055,0.30832,0.0023354316097547127
adult,weighted_updated_alpha_v4_adult_aim_a0.4,733118c3,2026-05-14T23:48:14.272625,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_aim.pkl,50000,42,0.5,0.5,20,42,0.4,WeightedVCRepairer,SmartNoiseModelLoader,aim,0.1939704418182373,2.796285629272461,1.0333521366119385,19321.098271131516,50000,34124,0.31752,0.5618976177615916,0.2929206089565101,0.03196359620233171,0.053965441662952286,0.8231235412145285,0.8441914745505917,0.84689406658204,0.8245567339584784,0.8436591458171246,0.8448261741943409,0,27382463,0,0.005217083776306449,0.0,0.008695139627177415,0.1283414314704084,0.31752,0.002222385784014008
adult,weighted_updated_alpha_v4_adult_aim_a0.45,3f56e834,2026-05-15T03:10:28.197963,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_aim.pkl,50000,42,0.5,0.5,20,42,0.45,WeightedVCRepairer,SmartNoiseModelLoader,aim,0.20544171333312988,2.7841804027557373,1.154179334640503,13413.610402345657,50000,35382,0.29236,0.5618976177615916,0.31457225982811493,0.03196359620233171,0.05290814241772633,0.8231235412145285,0.8441914745505917,0.84689406658204,0.8247000532328733,0.8439457843659146,0.8442733712788174,0,27382463,0,0.004782326794947579,0.0,0.008695139627177415,0.13315928915720873,0.29236,0.0029041621040158715
adult,weighted_updated_alpha_v4_adult_aim_a0.5,89fc4572,2026-05-14T17:27:15.163405,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_aim.pkl,50000,42,0.5,0.5,20,42,0.5,WeightedVCRepairer,SmartNoiseModelLoader,aim,0.31505584716796875,4.607006311416626,1.861994981765747,21461.082102298737,50000,35343,0.29314,0.5618976177615916,0.3157556137941774,0.03196359620233171,0.0535337793138027,0.8231235412145285,0.8441914745505917,0.84689406658204,0.8246181565046476,0.844682854919946,0.8437000941812375,0,27382463,0,0.004347569813588708,0.0,0.008695139627177415,0.1483610492506306,0.29314,0.003582098501261183
adult,weighted_updated_alpha_v4_adult_aim_a0.55,ae4938a0,2026-05-14T17:00:32.344332,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_aim.pkl,50000,42,0.5,0.5,20,42,0.55,WeightedVCRepairer,SmartNoiseModelLoader,aim,0.31470584869384766,4.604642629623413,1.8642892837524414,19853.811727046967,50000,39854,0.20292,0.5618976177615916,0.39181870258237284,0.03196359620233171,0.05025540512087415,0.8231235412145285,0.8441914745505917,0.84689406658204,0.8245976823225912,0.843536300724786,0.844682854919946,0,27382463,0,0.003912812832229836,0.0,0.008695139627177415,0.113833113915546,0.20292,0.004949142034546659
adult,weighted_updated_alpha_v4_adult_aim_a0.6,1455e594,2026-05-14T20:38:01.901437,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_aim.pkl,50000,42,0.5,0.5,20,42,0.6,WeightedVCRepairer,SmartNoiseModelLoader,aim,0.18642187118530273,2.6580252647399902,1.149085521697998,12968.127672672272,50000,42800,0.144,0.5618976177615916,0.44439238497555944,0.03196359620233171,0.04885805901984122,0.8231235412145285,0.8441914745505917,0.84689406658204,0.8246386306867041,0.8431882396298268,0.8473035502231686,0,27382463,0,0.0034780558508709664,0.0,0.008695139627177415,0.0890125428532605,0.144,0.006531357133151272
adult,weighted_updated_alpha_v4_adult_aim_a0.65,3bb02f2e,2026-05-14T19:19:06.521523,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_aim.pkl,50000,42,0.5,0.5,20,42,0.65,WeightedVCRepairer,SmartNoiseModelLoader,aim,0.18181276321411133,2.758878707885742,1.144984245300293,6550.362096786499,50000,46188,0.07624,0.5618976177615916,0.4962736462032341,0.03196359620233171,0.03900215445486222,0.8231235412145285,0.8441914745505917,0.84689406658204,0.8249866917816633,0.8442119487326482,0.8478154047745793,0,27382463,0,0.003043298869512095,0.0,0.008695139627177415,0.0514613075925731,0.07624,0.005443735978780269
adult,weighted_updated_alpha_v4_adult_aim_a0.7,5d25727e,2026-05-14T20:03:35.009284,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_aim.pkl,50000,42,0.5,0.5,20,42,0.7,WeightedVCRepairer,SmartNoiseModelLoader,aim,0.2039353847503662,2.7152490615844727,1.1313774585723877,2515.5604848861694,50000,47614,0.04772,0.5618976177615916,0.5682524242405769,0.03196359620233171,0.03465794885825809,0.8231235412145285,0.8441914745505917,0.84689406658204,0.8250071659637197,0.8447647516481717,0.8464436345767986,0,27382463,0,0.002608541888153225,0.0,0.008695139627177415,0.03547784309697791,0.04772,0.0069128103232597
adult,weighted_updated_alpha_v4_adult_aim_a0.75,bf536940,2026-05-14T12:22:36.408374,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_aim.pkl,50000,42,0.5,0.5,20,42,0.75,WeightedVCRepairer,SmartNoiseModelLoader,aim,0.3009309768676758,4.6176018714904785,1.7091314792633057,3152.844646215439,50000,47751,0.04498,0.5618976177615916,0.5773140657859429,0.03196359620233171,0.034486666475491735,0.8231235412145285,0.8441914745505917,0.84689406658204,0.8248638466893248,0.8452766061995823,0.8462593669382908,0,27382463,0,0.002173784906794354,0.0,0.008695139627177415,0.03552402220935667,0.04498,0.0071560888374266746
adult,weighted_updated_alpha_v4_adult_aim_a0.8,3541b92c,2026-05-14T12:22:29.558779,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_aim.pkl,50000,42,0.5,0.5,20,42,0.8,WeightedVCRepairer,SmartNoiseModelLoader,aim,0.2996399402618408,4.609584331512451,1.7187221050262451,3134.7157118320465,50000,47774,0.04452,0.5618976177615916,0.5783951227965061,0.03196359620233171,0.03444128947886644,0.8231235412145285,0.8441914745505917,0.84689406658204,0.8248024241431555,0.8451332869251873,0.8456041931124851,0,27382463,0,0.0017390279254354826,0.0,0.008695139627177415,0.037058521587355946,0.04452,0.007212607936779737
adult,weighted_updated_alpha_v4_adult_aim_a0.85,7812f0f3,2026-05-14T13:07:28.705614,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_aim.pkl,50000,42,0.5,0.5,20,42,0.85,WeightedVCRepairer,SmartNoiseModelLoader,aim,0.18879342079162598,2.9485275745391846,1.2687902450561523,2482.4990487098694,50000,47776,0.04448,0.5618976177615916,0.5785308434063363,0.03196359620233171,0.034434356602560896,0.8231235412145285,0.8441914745505917,0.84689406658204,0.8248024241431555,0.8456656156586544,0.8452356578354695,0,27382463,0,0.0013042709440766124,0.0,0.008695139627177415,0.038890628010399206,0.04448,0.007217520069328012
adult,weighted_updated_alpha_v4_adult_aim_a0.9,0a5ee834,2026-05-14T13:07:10.956365,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_aim.pkl,50000,42,0.5,0.5,20,42,0.9,WeightedVCRepairer,SmartNoiseModelLoader,aim,0.19885730743408203,2.903621196746826,1.2548797130584717,2477.9094638824463,50000,47792,0.04416,0.5618976177615916,0.5738007338801516,0.03196359620233171,0.03436780905637136,0.8231235412145285,0.8441914745505917,0.84689406658204,0.8248024241431555,0.8459317800253879,0.8465664796691372,0,27382463,0,0.0008695139627177413,0.0,0.008695139627177415,0.04046549543211462,0.04416,0.00721495432114618
