iterations,seed,repairer,marginal_error_repaired,marginal_error_synthetic,deletion_ratio,runtime_repairing,violations_repaired,ml_acc_rf_repaired,ml_acc_lr_repaired,ml_acc_rf_private,tvd_repaired
10,44,ClassicVCRepairer,0.3135989115842647,0.4286585374022705,0.8806,20.730135679244995,0,0.544,0.544,0.525,0.10943011246709737
10,42,ClassicVCRepairer,0.6128098152822313,0.7250283790624418,0.4244,10.241673707962036,0,0.795,0.547,0.525,0.0674745358880175
10,43,ClassicVCRepairer,0.15627348235473093,0.9543539545635387,0.82,19.193742275238037,0,0.604,0.548,0.525,0.21385523809523815
10,44,ILP (Marginals=False),0.4278564244474993,0.4286585374022705,0.002,1.360349416732788,0,0.997,0.546,0.525,0.001029430289149727
10,43,ILP (Marginals=False),0.9527648212676822,0.9543539545635387,0.002,1.7108490467071533,0,0.994,0.546,0.525,0.001024750453287527
10,42,ILP (Marginals=False),0.7241362008190925,0.7250283790624418,0.002,1.0863120555877686,0,0.995,0.547,0.525,0.0010929096287813716
10,44,ILP (Marginals=True),0.013147732554290548,0.4286585374022705,1.0,301.72660732269287,0,0.0,0.0,0.525,0.5
10,43,ILP (Marginals=True),0.003821073209698298,0.9543539545635387,1.0,301.75153970718384,0,0.0,0.0,0.525,0.5
10,42,ILP (Marginals=True),0.014639547361408984,0.7250283790624418,1.0,301.3094046115875,0,0.0,0.0,0.525,0.5
10,44,VanillaVCRepairer,0.4278564244474993,0.4286585374022705,0.002,0.1952660083770752,0,0.997,0.546,0.525,0.001029430289149727
10,43,VanillaVCRepairer,0.9527648212676822,0.9543539545635387,0.002,0.19183015823364258,0,0.994,0.546,0.525,0.001024750453287527
10,42,VanillaVCRepairer,0.7241362008190925,0.7250283790624418,0.002,0.17049837112426758,0,0.995,0.547,0.525,0.0010929096287813716
10,44,WeightedVCRepairer,0.3506242770205673,0.4286585374022705,0.0056,0.3797025680541992,0,0.995,0.546,0.525,0.002443532161054283
10,43,WeightedVCRepairer,0.7229662134068656,0.9543539545635387,0.005,0.3736855983734131,0,0.994,0.546,0.525,0.0021608040201005
10,42,WeightedVCRepairer,0.6455666254083207,0.7250283790624418,0.0058,0.3631279468536377,0,0.992,0.546,0.525,0.0024032516213083476
20,42,ClassicVCRepairer,0.11807605033244964,0.7250758782415816,0.9934,25.980109930038452,0,0.424,0.38,0.525,0.4069260606060606
20,43,ClassicVCRepairer,0.22246900040131723,0.9543539545635387,0.795,22.179011821746826,0,0.625,0.538,0.525,0.1185612078977933
20,44,ClassicVCRepairer,0.3552331808710761,0.42871385215180274,0.9564,24.491692781448364,0,0.503,0.478,0.525,0.24659112276103104
20,43,ILP (Marginals=False),0.9974306649958791,0.9543539545635387,0.0038,2.849118947982788,0,0.997,0.545,0.525,0.0017193372912304883
20,42,ILP (Marginals=False),0.7230281641452857,0.7250758782415816,0.004,2.579481840133667,0,0.995,0.543,0.525,0.0019150353796136966
20,44,ILP (Marginals=False),0.4270542115850306,0.42871385215180274,0.004,2.9708831310272217,0,0.994,0.545,0.525,0.001764918722509086
20,42,ILP (Marginals=True),0.014639547361408984,0.7250758782415816,1.0,303.223712682724,0,0.0,0.0,0.525,0.5
20,44,ILP (Marginals=True),0.013147732554290548,0.42871385215180274,1.0,303.5477042198181,0,0.0,0.0,0.525,0.5
20,43,ILP (Marginals=True),0.003821073209698298,0.9543539545635387,1.0,303.89777398109436,0,0.0,0.0,0.525,0.5
20,44,VanillaVCRepairer,0.4270542115850306,0.42871385215180274,0.004,0.2989506721496582,0,0.994,0.545,0.525,0.001764918722509086
20,43,VanillaVCRepairer,0.9974306649958791,0.9543539545635387,0.0038,0.28832292556762695,0,0.997,0.545,0.525,0.0017193372912304883
20,42,VanillaVCRepairer,0.7230281641452857,0.7250758782415816,0.004,0.24375295639038086,0,0.995,0.543,0.525,0.0019150353796136966
20,44,WeightedVCRepairer,0.32393235328539227,0.42871385215180274,0.0084,0.6196417808532715,0,0.99,0.545,0.525,0.003369690543421887
20,43,WeightedVCRepairer,0.7675400125015581,0.9543539545635387,0.0068,0.4638810157775879,0,0.995,0.546,0.525,0.002710966380914026
20,42,WeightedVCRepairer,0.3914568442050508,0.7250758782415816,0.0092,0.65110182762146,0,0.989,0.542,0.525,0.0034722225426302945
30,44,ClassicVCRepairer,0.4034060752876306,0.4374828262274096,0.8112,22.465277910232544,0,0.593,0.54,0.525,0.13522203389830517
30,42,ClassicVCRepairer,0.7224480535664642,0.7250283790624418,0.9192,29.03282070159912,0,0.552,0.508,0.525,0.181009033474776
30,43,ClassicVCRepairer,0.1662214756457019,0.9543539545635387,0.9766,26.61466097831726,0,0.508,0.465,0.525,0.23439719983719987
30,42,ILP (Marginals=False),0.7213721887653902,0.7250283790624418,0.006,4.619658708572388,0,0.995,0.543,0.525,0.0024035450800038343
30,44,ILP (Marginals=False),0.43505609594339684,0.4374828262274096,0.0058,4.130393981933594,0,0.991,0.546,0.525,0.002263494362540832
30,43,ILP (Marginals=False),0.9931075503672476,0.9543539545635387,0.0058,4.877307176589966,0,0.997,0.546,0.525,0.0022160178559454354
30,43,ILP (Marginals=True),0.003821073209698298,0.9543539545635387,1.0,304.8584625720978,0,0.0,0.0,0.525,0.5
30,42,ILP (Marginals=True),0.014639547361408984,0.7250283790624418,1.0,304.37329173088074,0,0.0,0.0,0.525,0.5
30,44,ILP (Marginals=True),0.013147732554290548,0.4374828262274096,1.0,303.47777485847473,0,0.0,0.0,0.525,0.5
30,42,VanillaVCRepairer,0.7213721887653902,0.7250283790624418,0.006,0.30002522468566895,0,0.995,0.543,0.525,0.0024035450800038343
30,43,VanillaVCRepairer,0.9931075503672476,0.9543539545635387,0.0058,0.2996830940246582,0,0.997,0.546,0.525,0.0022160178559454354
30,44,VanillaVCRepairer,0.43505609594339684,0.4374828262274096,0.0058,0.31014060974121094,0,0.991,0.546,0.525,0.002263494362540832
30,42,WeightedVCRepairer,0.4397594424042631,0.7250283790624418,0.0112,0.6811299324035645,0,0.986,0.544,0.525,0.0038173709354291908
30,43,WeightedVCRepairer,0.7656052843274713,0.9543539545635387,0.0086,0.7023146152496338,0,0.994,0.545,0.525,0.0029881099359251482
30,44,WeightedVCRepairer,0.28102825937298914,0.4374828262274096,0.0106,0.7147698402404785,0,0.988,0.544,0.525,0.003848313263449708
50,43,ClassicVCRepairer,0.08034060905865355,0.953843546872401,0.9686,28.200502157211304,0,0.459,0.432,0.525,0.22816650288140738
50,42,ClassicVCRepairer,0.595560889187046,0.7250758782415816,0.874,24.494035005569458,0,0.562,0.542,0.525,0.14547398337112621
50,44,ClassicVCRepairer,0.1581069578868743,0.4374828262274096,0.9168,26.403446674346924,0,0.525,0.528,0.525,0.1640984249084249
50,44,ILP (Marginals=False),0.4324418318971387,0.4374828262274096,0.0098,6.190654993057251,0,0.989,0.546,0.525,0.003206502967173541
50,43,ILP (Marginals=False),0.9860384213998656,0.953843546872401,0.0098,6.745228052139282,0,0.992,0.546,0.525,0.0032293962739610082
50,42,ILP (Marginals=False),0.7196461452785159,0.7250758782415816,0.01,6.862879514694214,0,0.99,0.543,0.525,0.0032951996151996186
50,44,ILP (Marginals=True),0.013147732554290548,0.4374828262274096,1.0,305.13827419281006,0,0.0,0.0,0.525,0.5
50,42,ILP (Marginals=True),0.014639547361408984,0.7250758782415816,1.0,305.81425976753235,0,0.0,0.0,0.525,0.5
50,43,ILP (Marginals=True),0.003821073209698298,0.953843546872401,1.0,306.1790130138397,0,0.0,0.0,0.525,0.5
50,44,VanillaVCRepairer,0.4324418318971387,0.4374828262274096,0.0098,0.5840129852294922,0,0.989,0.546,0.525,0.003206502967173541
50,42,VanillaVCRepairer,0.7196461452785159,0.7250758782415816,0.01,0.39865994453430176,0,0.99,0.543,0.525,0.0032951996151996186
50,43,VanillaVCRepairer,0.9860384213998656,0.953843546872401,0.0098,0.5579440593719482,0,0.992,0.546,0.525,0.0032293962739610082
50,44,WeightedVCRepairer,0.27863861490345926,0.4374828262274096,0.0146,1.217115879058838,0,0.986,0.545,0.525,0.004731259628673872
50,42,WeightedVCRepairer,0.4367662841876235,0.7250758782415816,0.0154,1.1662819385528564,0,0.986,0.542,0.525,0.004549304237640617
50,43,WeightedVCRepairer,0.7320768782669561,0.953843546872401,0.0128,0.823664665222168,0,0.991,0.545,0.525,0.00398909315427954
100,42,ClassicVCRepairer,0.22845555800796333,0.7252189170801879,0.9782,34.99624156951904,0,0.435,0.468,0.525,0.26369759720401925
100,44,ClassicVCRepairer,0.2635400678413916,0.457347876306511,0.9818,35.14482855796814,0,0.471,0.422,0.525,0.31688192569335427
100,43,ClassicVCRepairer,0.2241625967519243,0.9546993351684003,0.9458,34.4793803691864,0,0.501,0.497,0.525,0.1841291934633632
100,43,ILP (Marginals=False),0.9846709180435879,0.9546993351684003,0.0198,15.106693267822266,0,0.985,0.546,0.525,0.005070051787293165
100,44,ILP (Marginals=False),0.4431416803613829,0.457347876306511,0.0198,14.496472597122192,0,0.975,0.546,0.525,0.004787309489802859
