age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
0,3,13,8,9,3,7,1,3,1,0,0,9,9,0
0,3,5,2,8,3,10,3,3,0,0,0,9,9,0
5,2,11,8,9,3,5,2,2,1,0,0,19,9,0
2,3,6,10,10,3,10,3,3,0,0,0,14,9,0
20,3,7,8,9,3,6,4,0,1,0,0,28,7,0
10,3,13,7,13,1,2,0,2,1,0,0,19,9,1
14,3,6,8,9,1,2,0,3,1,0,0,19,9,0
2,3,10,1,7,1,2,0,3,1,0,0,19,5,0
17,3,9,5,12,0,8,1,3,0,2,0,19,9,1
26,3,6,8,9,1,7,5,2,0,1,0,17,9,0
19,3,3,7,13,1,10,0,3,1,0,22,19,9,2
11,3,8,6,11,1,1,0,2,1,0,0,22,9,2
15,0,7,7,13,5,0,1,3,0,0,0,3,9,1
22,3,5,8,9,1,2,0,3,1,0,0,19,9,0
8,3,5,10,10,3,2,1,3,1,0,0,18,9,1
30,3,0,4,5,1,3,0,3,1,0,0,19,9,0
26,3,4,1,7,1,10,0,3,1,0,0,27,9,1
15,1,2,10,10,1,1,0,3,1,0,21,19,9,3
39,0,11,4,5,1,0,0,3,1,1,0,19,9,0
2,3,9,10,10,1,2,0,3,1,0,0,27,9,0
9,3,2,8,9,0,7,4,3,0,0,0,14,9,0
13,3,9,9,14,1,3,0,3,1,0,0,35,9,3
13,3,3,8,9,5,7,4,3,0,0,0,11,9,0
32,6,3,7,13,1,2,0,3,1,0,0,22,9,2
10,2,8,7,13,3,8,1,3,0,0,0,24,9,0
26,2,4,8,9,1,12,0,3,1,0,0,19,9,0
10,3,5,8,9,1,10,5,3,0,0,0,9,9,0
23,5,0,8,9,1,4,0,3,1,0,21,30,9,2
19,4,6,7,13,0,3,4,3,1,0,0,24,9,2
20,3,1,10,10,1,1,5,3,0,0,0,19,9,0
6,3,4,7,13,3,3,3,3,0,0,0,19,9,0
1,3,12,8,9,3,1,1,3,0,0,0,14,9,0
23,3,2,9,14,0,8,4,3,1,7,0,24,9,2
6,3,5,7,13,3,11,1,3,1,0,0,19,9,1
22,3,10,8,9,0,1,1,3,0,0,0,19,9,0
15,3,3,5,12,0,12,4,3,0,0,0,19,9,0
19,5,0,10,10,3,4,1,3,1,0,0,24,9,0
5,3,7,8,9,3,7,1,2,0,0,0,19,9,1
13,3,7,6,11,3,7,1,3,1,0,0,19,9,0
21,5,0,6,11,0,12,1,3,1,0,0,23,9,1
15,3,6,5,12,3,1,3,3,0,0,0,22,9,0
22,3,9,7,13,1,8,0,3,1,0,0,19,9,0
3,3,6,7,13,3,1,3,3,0,0,0,17,9,0
14,3,1,7,13,1,3,0,3,1,0,0,24,9,2
4,3,6,5,12,3,8,3,2,1,0,0,9,9,0
2,3,5,8,9,1,2,0,3,1,0,0,19,9,1
6,6,18,7,13,1,9,5,2,0,0,0,23,9,0
49,3,6,8,9,3,1,1,3,0,0,0,19,9,3
23,3,0,0,6,5,10,4,2,0,0,0,19,9,1
29,3,5,8,9,1,2,0,3,1,0,0,17,9,0
7,3,11,8,9,3,6,3,3,1,0,0,19,9,0
32,2,3,10,10,0,1,1,3,0,0,0,13,9,0
1,3,10,8,9,3,10,1,1,1,0,0,14,9,1
21,3,4,10,10,1,2,0,3,1,0,0,30,9,1
25,3,8,8,9,1,3,0,3,1,0,0,22,9,0
6,3,7,8,9,3,7,3,3,1,0,0,9,9,1
33,3,3,6,11,5,8,1,3,0,0,0,17,9,0
12,1,6,7,13,2,3,1,2,1,0,0,19,9,1
5,5,6,7,13,3,8,3,3,1,0,0,14,9,0
6,2,6,5,12,3,8,3,2,0,0,0,18,9,1
29,3,5,8,9,5,6,4,3,0,0,0,19,9,0
13,3,5,6,11,1,2,0,3,1,0,0,19,9,0
17,3,4,8,9,3,7,3,3,0,0,0,19,9,0
17,3,0,10,10,0,6,1,3,1,0,18,19,9,0
15,3,2,9,14,1,3,0,3,1,0,0,19,9,2
9,2,8,10,10,1,9,0,3,1,0,0,19,9,3
11,3,9,10,10,3,6,1,3,1,0,0,19,2,2
29,0,4,7,13,1,0,0,1,1,0,24,12,8,0
18,3,1,1,7,3,7,1,3,0,0,0,19,9,0
32,3,9,9,14,1,1,2,3,0,0,0,19,9,3
26,0,13,5,12,1,0,0,3,1,0,0,9,9,0
3,3,11,10,10,3,1,1,3,0,0,0,19,9,0
8,5,7,6,11,4,10,1,3,1,0,0,19,5,1
19,2,11,10,10,0,1,4,3,0,0,0,22,9,0
3,3,6,10,10,3,4,3,3,1,0,0,12,9,0
2,3,1,8,9,3,10,3,1,0,0,0,11,6,0
13,3,8,8,9,1,5,0,3,1,0,0,23,9,0
2,3,4,8,9,1,2,0,3,1,0,0,9,4,1
23,5,5,0,6,1,3,0,3,1,0,0,30,9,0
26,4,2,8,9,1,3,2,1,0,0,0,10,1,1
21,3,6,8,9,1,12,0,3,1,0,0,21,9,0
26,2,8,10,10,1,8,0,3,1,0,0,19,9,2
2,3,2,10,10,3,12,3,1,1,0,0,19,9,1
0,0,4,0,6,3,0,3,3,1,0,0,14,9,0
10,5,6,8,9,3,3,1,3,1,0,0,27,3,0
8,3,6,2,8,3,7,4,2,0,0,0,17,0,0
33,3,0,8,9,1,7,0,2,1,0,0,1,9,0
19,5,2,8,9,1,2,0,3,1,0,0,19,2,0
31,6,6,10,10,1,1,0,3,1,0,19,19,9,0
21,3,4,8,9,3,2,1,2,1,0,0,19,9,0
13,1,0,8,9,1,1,0,3,1,0,0,19,2,2
9,3,8,3,4,1,6,0,3,1,0,0,19,9,0
17,3,3,7,13,1,10,0,3,1,0,0,19,9,2
11,5,1,8,9,1,12,0,3,1,0,0,17,9,0
23,3,7,10,10,1,10,0,3,1,0,0,19,9,2
15,0,5,10,10,0,0,1,3,0,0,0,17,9,0
10,3,8,7,13,1,10,0,2,1,0,0,27,9,1
14,3,6,10,10,1,2,0,3,1,0,0,23,9,3
36,3,2,9,14,0,8,1,3,0,0,0,7,4,0
24,1,3,5,12,1,1,0,3,1,0,0,19,9,0
