age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
15,7,2,9,13,4,1,1,4,1,1,0,19,39,0
22,6,2,9,13,2,4,0,4,1,0,0,6,39,0
14,4,6,11,9,0,6,1,4,1,0,0,19,39,0
24,4,7,1,7,2,6,0,2,1,0,0,19,39,0
7,4,11,9,13,2,10,5,2,0,0,0,19,5,0
13,4,9,12,14,2,4,5,4,0,0,0,19,39,0
21,4,5,6,5,3,8,1,2,0,0,0,7,23,0
23,6,6,11,9,2,4,0,4,1,0,0,22,39,1
9,4,1,12,14,4,10,1,4,0,7,0,24,39,1
17,4,4,9,13,2,4,0,4,1,2,0,19,39,1
13,4,9,15,10,2,4,0,2,1,0,0,40,39,1
8,7,4,9,13,2,10,0,1,1,0,0,19,19,1
4,4,3,9,13,4,1,3,4,0,0,0,14,39,0
10,4,6,7,12,4,12,1,2,1,0,0,24,39,0
15,4,3,8,11,2,3,0,1,1,0,0,19,0,1
11,4,7,5,4,2,14,0,0,1,0,0,22,26,0
5,6,5,11,9,4,5,3,4,1,0,0,17,39,0
10,4,5,11,9,4,7,4,4,1,0,0,19,39,0
14,4,0,1,7,2,12,0,4,1,0,0,24,39,0
17,6,9,12,14,0,4,4,4,0,0,0,22,39,1
15,4,6,10,16,2,10,0,4,1,0,0,30,39,1
25,4,9,11,9,5,8,4,2,0,0,0,9,39,0
12,1,2,6,5,2,5,0,2,1,0,0,19,39,0
17,4,3,1,7,2,14,0,4,1,0,23,19,39,0
28,4,3,11,9,0,13,4,4,0,0,0,19,39,0
26,2,6,9,13,2,13,0,4,1,0,0,19,39,1
1,4,5,11,9,4,3,3,4,1,0,0,19,39,0
25,0,5,15,10,2,0,0,1,1,0,0,30,35,1
15,4,12,11,9,0,4,1,4,1,0,0,40,39,0
21,4,6,11,9,2,3,0,4,1,0,0,19,39,0
4,2,6,7,12,4,11,1,4,1,0,0,26,39,0
2,4,8,15,10,4,12,3,2,1,0,0,21,39,0
19,4,12,9,13,0,4,3,4,1,0,16,19,39,0
8,1,1,15,10,2,1,3,4,1,0,0,19,39,0
3,7,10,15,10,2,8,0,2,1,0,0,7,39,0
21,4,7,1,7,4,7,4,4,1,0,0,19,33,0
2,4,6,15,10,4,7,3,4,1,0,0,19,39,0
1,4,17,11,9,1,1,5,4,0,0,0,12,39,0
9,4,2,15,10,2,12,0,4,1,0,0,18,0,1
21,6,8,7,12,2,10,0,4,1,0,0,19,39,0
9,4,16,6,5,2,7,0,4,1,0,0,21,39,0
24,6,2,9,13,2,10,0,4,1,0,0,19,39,0
4,4,5,9,13,2,13,0,4,1,0,0,24,39,0
21,4,2,11,9,5,1,4,4,0,0,0,19,39,0
5,4,9,11,9,4,6,1,4,1,0,0,17,39,0
27,1,11,9,13,2,10,0,2,1,0,0,19,39,1
24,4,4,11,9,2,7,0,4,1,0,0,18,39,0
18,4,3,12,14,0,4,4,4,0,0,0,19,39,0
16,7,3,8,11,2,3,0,4,1,0,0,19,39,0
8,4,8,8,11,4,10,1,4,1,0,0,21,39,0
5,4,0,15,10,2,4,5,3,0,0,0,19,39,0
0,4,7,11,9,4,8,3,4,0,0,0,14,0,0
20,4,1,14,15,2,10,5,4,0,0,21,30,16,1
22,1,8,9,13,0,4,1,4,1,0,0,27,39,1
20,5,3,11,9,0,4,1,4,1,0,0,30,39,0
17,4,7,15,10,2,13,0,4,1,0,0,19,39,1
19,4,6,4,3,2,7,0,4,1,0,0,19,26,0
12,4,1,8,11,2,8,0,4,1,0,0,19,33,0
16,4,4,11,9,2,1,0,4,1,0,0,23,39,0
8,4,5,11,9,2,7,0,4,1,2,0,19,39,0
8,4,1,9,13,2,12,0,4,1,1,0,19,39,0
10,0,9,5,4,3,0,1,4,1,0,0,19,0,0
21,4,4,11,9,2,14,0,4,1,0,0,19,39,0
17,4,3,10,16,2,10,0,4,1,0,0,22,39,1
8,4,3,15,10,0,13,1,4,1,0,0,29,39,0
13,4,4,11,9,2,3,0,4,1,0,0,19,39,0
7,4,5,15,10,0,1,1,4,0,0,0,19,39,0
24,4,5,11,9,2,1,5,4,0,0,0,19,39,1
21,5,6,15,10,2,4,0,4,1,0,0,24,39,1
5,0,6,15,10,4,0,3,4,1,0,0,19,39,0
1,4,3,15,10,4,10,3,4,1,0,0,15,39,0
9,4,10,9,13,5,12,3,2,0,0,0,19,39,0
8,6,5,9,13,2,12,0,4,1,0,0,35,39,1
4,4,6,15,10,4,7,1,4,1,0,0,19,39,0
42,4,3,15,10,2,10,2,4,1,0,0,9,39,0
6,4,6,11,9,4,8,3,4,1,0,0,19,26,0
15,4,0,7,12,2,1,0,4,1,0,0,19,39,0
34,0,6,0,6,2,0,0,4,1,0,0,0,39,0
0,4,10,1,7,4,8,3,4,0,0,0,10,39,0
9,2,3,5,4,2,5,0,4,1,0,0,19,39,0
0,4,14,11,9,4,12,1,4,1,0,0,14,39,0
23,4,8,9,13,2,8,0,4,1,0,0,19,5,0
19,4,1,11,9,2,8,5,4,0,0,0,19,39,0
28,4,4,11,9,2,12,0,4,1,0,0,23,39,0
18,4,11,11,9,0,3,1,4,0,7,0,19,39,1
24,4,11,11,9,0,12,3,4,0,0,0,17,39,0
21,2,8,11,9,2,11,0,4,1,0,0,19,39,1
10,4,6,12,14,2,10,0,4,1,0,0,24,39,0
8,4,1,6,5,4,12,1,4,1,0,0,19,39,0
17,1,13,10,16,4,10,1,4,0,0,0,24,39,1
27,4,8,8,11,2,10,0,4,1,0,0,19,39,0
13,4,9,15,10,0,3,4,4,0,0,0,19,39,0
7,4,6,15,10,0,7,4,2,0,0,0,12,39,0
8,4,3,11,9,2,12,5,1,0,0,18,17,0,0
11,2,7,9,13,2,11,0,4,1,0,0,19,39,1
8,2,3,15,10,4,6,1,4,1,0,0,24,39,0
21,6,6,10,16,2,10,0,4,1,0,21,30,39,1
13,4,6,15,10,2,12,0,4,1,0,0,23,39,1
21,4,5,7,12,0,4,4,4,0,0,0,19,9,0
10,1,8,11,9,4,8,3,2,1,0,0,19,39,0
40,4,3,12,14,2,4,0,4,1,0,0,19,39,1
18,4,6,9,13,2,4,0,4,1,7,0,30,39,1
20,6,4,12,14,4,10,1,4,0,0,0,24,39,0
2,4,5,15,10,4,13,3,4,0,0,0,19,39,0
8,4,3,11,9,4,3,1,4,1,0,0,19,39,0
10,5,10,11,9,2,3,0,4,1,3,0,19,39,1
